TITRE,REALISATEUR,RUE,CP,ADRESSE,COORDONNEES
BAMBOU,DIDIER BOURDON,DE L'OURCQ,75019,RUE DE L'OURCQ 75019 Paris France,"48.891695, 2.380257"
FROM PARIS WITH LOVE,PIERRE MOREL,D'IVRY,75013,AVENUE D'IVRY 75013 Paris France,"48.823777, 2.364813"
FROM PARIS WITH LOVE,PIERRE MOREL,BAUDRICOURT,75013,RUE BAUDRICOURT 75013 Paris France,
BAMBOU,DIDIER BOURDON,DE L'OISE ET RUE,75019,QUAI DE L'OISE ET RUE 75019 Paris France,
BAMBOU,DIDIER BOURDON,DE JOINVILLE ET RUE,75019,AVENUE DE JOINVILLE ET RUE 75019 Paris France,
BAMBOU,DIDIER BOURDON,DE L'OISE,75019,QUAI DE L'OISE 75019 Paris France,"48.890258, 2.382685"
INGLORIOUS BASTERDS,QUENTIN TARANTINO,DU POTEAU,75018,RUE DU POTEAU 75018 Paris France,"48.894942, 2.340567"
BAMBOU,DIDIER BOURDON,JOMARD,75019,RUE JOMARD 75019 Paris France,"48.889362, 2.379047"
BAMBOU,DIDIER BOURDON,DE CRIMEE ET PASSERELLE,75019,PONT DE CRIMEE ET PASSERELLE 75019 Paris France,
BAMBOU,DIDIER BOURDON,DE JOINVILLE,75019,PLACE DE JOINVILLE 75019 Paris France,
BAMBOU,DIDIER BOURDON,DE L'OISE,75019,QUAI DE L'OISE 75019 Paris France,"48.890258, 2.382685"
BAMBOU,DIDIER BOURDON,TOURNEUX,75012,RUE TOURNEUX 75012 Paris France,"48.837589, 2.398391"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,GEORGES POMPIDOU,75016,VOIE GEORGES POMPIDOU 75016 Paris France,"48.850207, 2.278029"
BAMBOU,DIDIER BOURDON,KLEBER,75016,AVENUE KLEBER 75016 Paris France,"48.868335, 2.290789"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,CHAMPERRET,75017,TUNNEL CHAMPERRET 75017 Paris France,
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,DE BIR HAKEIM,75015,PONT DE BIR HAKEIM 75015 Paris France,"48.855712, 2.287752"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,BERTHIER,75017,BOULEVARD BERTHIER 75017 Paris France,"48.889803, 2.303428"
DEAR GALILEO,NITHIWAT TARATHORN,DALIDA,75018,PLACE DALIDA 75018 Paris France,"48.888531, 2.338071"
FAIS MOI PLAISIR,EMMANUEL MOURET,JEAN AICARD,75011,RUE JEAN AICARD 75011 Paris France,
FAIS MOI PLAISIR,EMMANUEL MOURET,DES BLUETS/AV DE LA REPUBLIQUE (ANGLE),75011,RUE DES BLUETS/AV DE LA REPUBLIQUE (ANGLE) 75011 Paris France,
FAIS MOI PLAISIR,EMMANUEL MOURET,DES CASCADES,75020,RUE DES CASCADES 75020 Paris France,
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,DE L'AUDE,75014,RUE DE L'AUDE 75014 Paris France,"48.826645, 2.333687"
BAMBOU,DIDIER BOURDON,CONSERVATOIRE A RAYONNEMENT REGIONAL,75008,CONSERVATOIRE CONSERVATOIRE A RAYONNEMENT REGIONAL 75008 Paris France,
VICTOR,THOMAS GILOU,ALBERT DE MUN,75016,AVENUE ALBERT DE MUN 75016 Paris France,"48.863064, 2.291776"
TOUTES LES FILLES PLEURENT,JUDITH GODRECHE,RENE COTY,75014,RUE RENE COTY 75014 Paris France,
CHANEL ET STRAVINSKY,JAN KOUNEN,DES MISSIONS ETRANGERES,75007,SQUARE DES MISSIONS ETRANGERES 75007 Paris France,
FROM PARIS WITH LOVE,PIERRE MOREL,DU FAUBOURG SAINT MARTIN,75010,RUE DU FAUBOURG SAINT MARTIN 75010 Paris France,"48.876831, 2.360984"
LES PETITS PRINCES,G. JULIEN LAFERRIERE,GEORGE V,75008,AVENUE GEORGE V 75008 Paris France,"48.86833, 2.300986"
LE COACH,OLIVIER DORAN,AMPERE /BD PEREIRE/PUVIS DE CHAVANNE,75017,RUE AMPERE /BD PEREIRE/PUVIS DE CHAVANNE 75017 Paris France,
LE PETIT NICOLAS,LAURENT TIRARD,RUE BECQUEREL/SAINT SAUVEUR,75018,CARREFOUR RUE BECQUEREL/SAINT SAUVEUR 75018 Paris France,
HADEWIJCH,BRUNO DUMONT,DE LA TOURNELLE,75004,PONT DE LA TOURNELLE 75004 Paris France,"48.850686, 2.3555"
HADEWIJCH,BRUNO DUMONT,DE BRETONVILLIERS,75004,RUE DE BRETONVILLIERS 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,D'ORLEANS,75004,QUAI D'ORLEANS 75004 Paris France,"48.851629, 2.354153"
HADEWIJCH,BRUNO DUMONT,DE BOURBON/PONT MARIE (ANGLE),75004,QUAI DE BOURBON/PONT MARIE (ANGLE) 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,DES DEUX PONTS (ANGLE),75004,RUE DES DEUX PONTS (ANGLE) 75004 Paris France,
HADEWIJCH,BRUNO DUMONT,BUDE,75004,RUE BUDE 75004 Paris France,
G.I. JOE / DARK SKY,STEPHEN SOMMERS,DE L'ETOILE,75016,PLACE DE L'ETOILE 75016 Paris France,
G.I. JOE / DARK SKY,STEPHEN SOMMERS,BRANLY,75007,QUAI BRANLY 75007 Paris France,"48.860709, 2.297512"
G.I. JOE / DARK SKY,STEPHEN SOMMERS,DE VARSOVIE,75016,PLACE DE VARSOVIE 75016 Paris France,"48.860104, 2.290901"
UN CHAT UN CHAT,SOPHIE FILLIERES,ABEL,75012,RUE ABEL 75012 Paris France,"48.847116, 2.375202"
UN CHAT UN CHAT,SOPHIE FILLIERES,ABEL ANGLE AVENUE DAUMESNIL,75012,RUE ABEL ANGLE AVENUE DAUMESNIL 75012 Paris France,
LE DERNIER POLICHINELLE,MAURIZIO SCAPARRO,DE LA SORBONNE,75005,PLACE DE LA SORBONNE 75005 Paris France,"48.848577, 2.342194"
CHERI,STEPHEN FREARS,ROYALE,75008,RUE ROYALE 75008 Paris France,"48.867987, 2.322978"
CHERI,STEPHEN FREARS,DE LA CONCORDE,75007,PONT DE LA CONCORDE 75007 Paris France,
UN HOMME ET SON CHIEN,FRANCIS HUSTER,D'ALSACE,75010,RUE D'ALSACE 75010 Paris France,"48.877875, 2.3583"
UN HOMME ET SON CHIEN,FRANCIS HUSTER,DU 11 NOVEMBRE,75010,PLACE DU 11 NOVEMBRE 75010 Paris France,
COCO AVANT CHANEL,ANNE FONTAINE,DE L'UNIVERSITE,75007,RUE DE L'UNIVERSITE 75007 Paris France,"48.861018, 2.314093"
COCO AVANT CHANEL,ANNE FONTAINE,DU PRE-AUX-CLERS,75007,RUE DU PRE-AUX-CLERS 75007 Paris France,
COCO AVANT CHANEL,ANNE FONTAINE,FOCH,75016,AVENUE FOCH 75016 Paris France,"48.872126, 2.285236"
COCO AVANT CHANEL,ANNE FONTAINE,SAINT GUILLAUME,75007,RUE SAINT GUILLAUME 75007 Paris France,
COCO AVANT CHANEL,ANNE FONTAINE,DU PRE AUX CLERCS,75007,RUE DU PRE AUX CLERCS 75007 Paris France,
UNE AFFAIRE D'ETAT,ERIC VALETTE,TRUDAINE,75009,AVENUE TRUDAINE 75009 Paris France,"48.881317, 2.343498"
FAIS MOI PLAISIR,EMMANUEL MOURET,DU FAUBOURG SAINT HONORE,75008,RUE DU FAUBOURG SAINT HONORE 75008 Paris France,"48.872845, 2.310735"
MICMACS A TIRE LARIGOT,JEAN PIERRE JEUNET,DE LA MARNE,75019,QUAI DE LA MARNE 75019 Paris France,"48.889903, 2.383087"
VISAGES,TSAI MING LIANG,DE MONTMARTRE,75018,CIMETIERE DE MONTMARTRE 75018 Paris France,"48.887611, 2.330186"
VISAGES,TSAI MING LIANG,LEPIC,75018,RUE LEPIC 75018 Paris France,"48.885838, 2.334797"
FAIS MOI PLAISIR,EMMANUEL MOURET,REMBRANDT,75008,RUE REMBRANDT 75008 Paris France,"48.877429, 2.308208"
